name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
model_loading_uri,,,,29398,,,"""""",""""""
session_initialization,,,,219700,,,"""""",""""""
unique_ids_graph_outputs_Identity__10_fence_before,Identity,,,0,,,"""""",""""""
unique_ids_graph_outputs_Identity__10_kernel_time,Identity,CPUExecutionProvider,1259,27,8,8,"[{""int64"": [1]}]","[{""int64"": [1]}]"
unique_ids_graph_outputs_Identity__10_fence_after,Identity,,,0,,,"""""",""""""
bert/embeddings/Reshape_2_fence_before,Reshape,,,0,,,"""""",""""""
bert/embeddings/Reshape_2_kernel_time,Reshape,CPUExecutionProvider,0,10,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [1]}]","[{""int64"": [256]}]"
bert/embeddings/Reshape_2_fence_after,Reshape,,,0,,,"""""",""""""
bert/embeddings/one_hot_fence_before,OneHot,,,0,,,"""""",""""""
bert/embeddings/one_hot_kernel_time,OneHot,CPUExecutionProvider,1,16,2048,2048,"[{""int64"": [256]}, {""int32"": [1]}, {""float"": [2]}]","[{""float"": [256, 2]}]"
bert/embeddings/one_hot_fence_after,OneHot,,,0,,,"""""",""""""
bert/embeddings/MatMul_quant_fence_before,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/embeddings/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1344,1338,2048,786432,"[{""float"": [256, 2]}, {""float"": [768]}, {""int8"": [768]}]","[{""float"": [256, 768]}]"
bert/embeddings/MatMul_quant_fence_after,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/embeddings/ExpandDims_fence_before,Reshape,,,0,,,"""""",""""""
bert/embeddings/ExpandDims_kernel_time,Reshape,CPUExecutionProvider,7,7,2048,2048,"[{""int64"": [1, 256]}, {""int64"": [3]}]","[{""int64"": [1, 256, 1]}]"
bert/embeddings/ExpandDims_fence_after,Reshape,,,0,,,"""""",""""""
bert/embeddings/Reshape_fence_before,Reshape,,,0,,,"""""",""""""
bert/embeddings/Reshape_kernel_time,Reshape,CPUExecutionProvider,8,6,2048,2048,"[{""int64"": [1, 256, 1]}, {""int64"": [1]}]","[{""int64"": [256]}]"
bert/embeddings/Reshape_fence_after,Reshape,,,0,,,"""""",""""""
bert/embeddings/GatherV2_quant_fence_before,Gather,,,0,,,"""""",""""""
bert/embeddings/GatherV2_quant_kernel_time,Gather,CPUExecutionProvider,9,55,2048,196608,"[{""int8"": [30522, 768]}, {""int64"": [256]}]","[{""int8"": [256, 768]}]"
bert/embeddings/GatherV2_quant_fence_after,Gather,,,0,,,"""""",""""""
bert/embeddings/GatherV2:0_DequantizeLinear_fence_before,DequantizeLinear,,,0,,,"""""",""""""
bert/embeddings/GatherV2:0_DequantizeLinear_kernel_time,DequantizeLinear,CPUExecutionProvider,18,37,196608,786432,"[{""int8"": [256, 768]}, {""float"": []}, {""int8"": []}]","[{""float"": [256, 768]}]"
bert/embeddings/GatherV2:0_DequantizeLinear_fence_after,DequantizeLinear,,,0,,,"""""",""""""
bert/embeddings/Shape_fence_before,Shape,,,0,,,"""""",""""""
bert/embeddings/Shape_kernel_time,Shape,CPUExecutionProvider,10,7,2048,24,"[{""int64"": [1, 256, 1]}]","[{""int64"": [3]}]"
bert/embeddings/Shape_fence_after,Shape,,,0,,,"""""",""""""
bert/embeddings/Shape__49_fence_before,Cast,,,0,,,"""""",""""""
bert/embeddings/Shape__49_kernel_time,Cast,CPUExecutionProvider,11,10,24,12,"[{""int64"": [3]}]","[{""float"": [3]}]"
bert/embeddings/Shape__49_fence_after,Cast,,,0,,,"""""",""""""
bert/embeddings/strided_slice_fence_before,Slice,,,0,,,"""""",""""""
bert/embeddings/strided_slice_kernel_time,Slice,CPUExecutionProvider,12,16,12,4,"[{""float"": [3]}, {""int64"": [1]}, {""int64"": [1]}, {""int64"": [1]}]","[{""float"": [1]}]"
bert/embeddings/strided_slice_fence_after,Slice,,,0,,,"""""",""""""
bert/embeddings/strided_slice__53_fence_before,Squeeze,,,0,,,"""""",""""""
bert/embeddings/strided_slice__53_kernel_time,Squeeze,CPUExecutionProvider,13,7,4,4,"[{""float"": [1]}]","[{""float"": []}]"
bert/embeddings/strided_slice__53_fence_after,Squeeze,,,0,,,"""""",""""""
bert/embeddings/strided_slice__54_fence_before,Cast,,,0,,,"""""",""""""
bert/embeddings/strided_slice__54_kernel_time,Cast,CPUExecutionProvider,14,7,4,4,"[{""float"": []}]","[{""int32"": []}]"
bert/embeddings/strided_slice__54_fence_after,Cast,,,0,,,"""""",""""""
bert/embeddings/Reshape_1/shape_Unsqueeze__55_fence_before,Unsqueeze,,,0,,,"""""",""""""
bert/embeddings/Reshape_1/shape_Unsqueeze__55_kernel_time,Unsqueeze,CPUExecutionProvider,15,6,4,4,"[{""int32"": []}]","[{""int32"": [1]}]"
bert/embeddings/Reshape_1/shape_Unsqueeze__55_fence_after,Unsqueeze,,,0,,,"""""",""""""
