N,M,K,MedianTime_s,GFLOPS
256,256,64,3.600120544433594e-05,233.00908668100664
256,256,128,4.982948303222656e-05,336.69255587399044
256,256,192,5.841255187988281e-05,430.8290459856979
256,256,256,6.723403930664062e-05,499.0691076430071
256,256,320,7.343292236328125e-05,571.174871571948
256,256,384,8.082389831542969e-05,622.7322493598584
256,256,448,9.584426879882812e-05,612.6631955766767
256,256,512,0.0001081228256225586,620.6724955031003
256,256,576,0.00011348724365234375,665.2507327720335
256,256,640,0.0001220703125,687.19476736
256,256,704,0.00012969970703125,711.4487003256471
256,256,768,0.00013780593872070312,730.4713928477231
256,256,832,0.000152587890625,714.6825580544
256,256,896,0.0001628398895263672,721.202356140041
256,256,960,0.0001697540283203125,741.2437940062921
256,256,1024,0.000179290771484375,748.6036614645107
256,256,1088,0.00018739700317382812,760.9851469594707
256,256,1152,0.00019407272338867188,778.03279803314
256,256,1216,0.0002086162567138672,764.0035082146377
256,256,1280,0.00022232532501220703,754.624602441437
256,256,1344,0.00022661685943603516,777.3506721362146
256,256,1408,0.0002357959747314453,782.6655065260909
256,256,1472,0.0002429485321044922,794.151676195423
256,256,1536,0.00025081634521484375,802.685294802251
256,256,1600,0.0002651214599609375,791.0155595510791
256,256,1664,0.0002797842025756836,779.542969160317
256,256,1728,0.00028324127197265625,799.6448202007273
256,256,1792,0.00029349327087402344,800.2944098190869
256,256,1856,0.0003006458282470703,809.156852161878
256,256,1920,0.0003077983856201172,817.6074071765763
256,256,1984,0.0003230571746826172,804.9561142094406
256,256,2048,0.00034117698669433594,786.7923877306946
256,256,2112,0.00034046173095703125,813.0842289435967
256,256,2176,0.0003497600555419922,815.4523865168971
256,256,2240,0.00035858154296875,818.7852547268085
256,256,2304,0.0003654956817626953,826.2474854520234
256,256,2368,0.0003802776336669922,816.1891957910872
256,256,2432,0.00039207935333251953,813.0168071606057
256,256,2496,0.0003991127014160156,819.7075934674123
256,256,2560,0.0004100799560546875,818.241211368186
256,256,2624,0.00041675567626953125,825.2627320607048
256,256,2688,0.00042319297790527344,832.5316212568699
256,256,2752,0.0004382133483886719,823.1381935907378
256,256,2816,0.000453948974609375,813.0842289435967
256,256,2880,0.0004545450210571289,830.4729840007553
256,256,2944,0.0004639625549316406,831.6963597565632
256,256,3008,0.00047206878662109375,835.1845899874263
256,256,3072,0.0004818439483642578,835.6505988441048
256,256,3136,0.0004961490631103516,828.464311558274
256,256,3200,0.0005161762237548828,812.5721036681755
256,256,3264,0.0005133152008056641,833.4430917466011
256,256,3328,0.0005218982696533203,835.809661315333
256,256,3392,0.0005295276641845703,839.6090593012589
256,256,3456,0.0005369186401367188,843.6749968014777
256,256,3520,0.0005521774291992188,835.5528777572366
256,256,3584,0.0005681514739990234,826.825361718251
256,256,3648,0.0005702972412109375,838.4235823843746
256,256,3712,0.0005803108215332031,838.4114959540904
256,256,3776,0.0005867481231689453,843.5099363027582
256,256,3840,0.0005939006805419922,847.4758431673705
256,256,3904,0.0006093978881835938,839.6896312279938
256,256,3968,0.0006272792816162109,829.1262141800015
256,256,4032,0.0006270408630371094,842.8195595423635
256,256,4096,0.0006396770477294922,839.2843137104912
